,T,U,pH,P_H2,P_CO2,P_H2O,P_CO,kappa
0,298.15,0.0,0.0,101325.0,101325.0,3534.0,5562.0,0.0
1,298.15,-0.1,0.0,101325.0,101325.0,3534.0,5562.0,0.0
2,298.15,-0.2,0.0,101325.0,101325.0,3534.0,5562.0,0.0
3,298.15,-0.3,0.0,101325.0,101325.0,3534.0,5562.0,0.0
4,298.15,-0.4,0.0,101325.0,101325.0,3534.0,5562.0,0.0
5,298.15,-0.5,0.0,101325.0,101325.0,3534.0,5562.0,0.0
6,298.15,-0.6,0.0,101325.0,101325.0,3534.0,5562.0,0.0
7,298.15,-0.7,0.0,101325.0,101325.0,3534.0,5562.0,0.0
8,298.15,-0.8,0.0,101325.0,101325.0,3534.0,5562.0,0.0
9,398.15,0.0,0.0,101325.0,101325.0,3534.0,5562.0,0.0
10,398.15,-0.1,0.0,101325.0,101325.0,3534.0,5562.0,0.0
11,398.15,-0.2,0.0,101325.0,101325.0,3534.0,5562.0,0.0
12,398.15,-0.3,0.0,101325.0,101325.0,3534.0,5562.0,0.0
13,398.15,-0.4,0.0,101325.0,101325.0,3534.0,5562.0,0.0
14,398.15,-0.5,0.0,101325.0,101325.0,3534.0,5562.0,0.0
15,398.15,-0.6,0.0,101325.0,101325.0,3534.0,5562.0,0.0
16,398.15,-0.7,0.0,101325.0,101325.0,3534.0,5562.0,0.0
17,398.15,-0.8,0.0,101325.0,101325.0,3534.0,5562.0,0.0
18,298.15,0.0,1.0,101325.0,101325.0,3534.0,5562.0,0.0
19,298.15,-0.1,1.0,101325.0,101325.0,3534.0,5562.0,0.0
20,298.15,-0.2,1.0,101325.0,101325.0,3534.0,5562.0,0.0
21,298.15,-0.3,1.0,101325.0,101325.0,3534.0,5562.0,0.0
22,298.15,-0.4,1.0,101325.0,101325.0,3534.0,5562.0,0.0
23,298.15,-0.5,1.0,101325.0,101325.0,3534.0,5562.0,0.0
24,298.15,-0.6,1.0,101325.0,101325.0,3534.0,5562.0,0.0
25,298.15,-0.7,1.0,101325.0,101325.0,3534.0,5562.0,0.0
26,298.15,-0.8,1.0,101325.0,101325.0,3534.0,5562.0,0.0
27,398.15,0.0,1.0,101325.0,101325.0,3534.0,5562.0,0.0
28,398.15,-0.1,1.0,101325.0,101325.0,3534.0,5562.0,0.0
29,398.15,-0.2,1.0,101325.0,101325.0,3534.0,5562.0,0.0
30,398.15,-0.3,1.0,101325.0,101325.0,3534.0,5562.0,0.0
31,398.15,-0.4,1.0,101325.0,101325.0,3534.0,5562.0,0.0
32,398.15,-0.5,1.0,101325.0,101325.0,3534.0,5562.0,0.0
33,398.15,-0.6,1.0,101325.0,101325.0,3534.0,5562.0,0.0
34,398.15,-0.7,1.0,101325.0,101325.0,3534.0,5562.0,0.0
35,398.15,-0.8,1.0,101325.0,101325.0,3534.0,5562.0,0.0
36,298.15,0.0,2.0,101325.0,101325.0,3534.0,5562.0,0.0
37,298.15,-0.1,2.0,101325.0,101325.0,3534.0,5562.0,0.0
38,298.15,-0.2,2.0,101325.0,101325.0,3534.0,5562.0,0.0
39,298.15,-0.3,2.0,101325.0,101325.0,3534.0,5562.0,0.0
40,298.15,-0.4,2.0,101325.0,101325.0,3534.0,5562.0,0.0
41,298.15,-0.5,2.0,101325.0,101325.0,3534.0,5562.0,0.0
42,298.15,-0.6,2.0,101325.0,101325.0,3534.0,5562.0,0.0
43,298.15,-0.7,2.0,101325.0,101325.0,3534.0,5562.0,0.0
44,298.15,-0.8,2.0,101325.0,101325.0,3534.0,5562.0,0.0
45,398.15,0.0,2.0,101325.0,101325.0,3534.0,5562.0,0.0
46,398.15,-0.1,2.0,101325.0,101325.0,3534.0,5562.0,0.0
47,398.15,-0.2,2.0,101325.0,101325.0,3534.0,5562.0,0.0
48,398.15,-0.3,2.0,101325.0,101325.0,3534.0,5562.0,0.0
49,398.15,-0.4,2.0,101325.0,101325.0,3534.0,5562.0,0.0
50,398.15,-0.5,2.0,101325.0,101325.0,3534.0,5562.0,0.0
51,398.15,-0.6,2.0,101325.0,101325.0,3534.0,5562.0,0.0
52,398.15,-0.7,2.0,101325.0,101325.0,3534.0,5562.0,0.0
53,398.15,-0.8,2.0,101325.0,101325.0,3534.0,5562.0,0.0
54,298.15,0.0,3.0,101325.0,101325.0,3534.0,5562.0,0.0
55,298.15,-0.1,3.0,101325.0,101325.0,3534.0,5562.0,0.0
56,298.15,-0.2,3.0,101325.0,101325.0,3534.0,5562.0,0.0
57,298.15,-0.3,3.0,101325.0,101325.0,3534.0,5562.0,0.0
58,298.15,-0.4,3.0,101325.0,101325.0,3534.0,5562.0,0.0
59,298.15,-0.5,3.0,101325.0,101325.0,3534.0,5562.0,0.0
60,298.15,-0.6,3.0,101325.0,101325.0,3534.0,5562.0,0.0
61,298.15,-0.7,3.0,101325.0,101325.0,3534.0,5562.0,0.0
62,298.15,-0.8,3.0,101325.0,101325.0,3534.0,5562.0,0.0
63,398.15,0.0,3.0,101325.0,101325.0,3534.0,5562.0,0.0
64,398.15,-0.1,3.0,101325.0,101325.0,3534.0,5562.0,0.0
65,398.15,-0.2,3.0,101325.0,101325.0,3534.0,5562.0,0.0
66,398.15,-0.3,3.0,101325.0,101325.0,3534.0,5562.0,0.0
67,398.15,-0.4,3.0,101325.0,101325.0,3534.0,5562.0,0.0
68,398.15,-0.5,3.0,101325.0,101325.0,3534.0,5562.0,0.0
69,398.15,-0.6,3.0,101325.0,101325.0,3534.0,5562.0,0.0
70,398.15,-0.7,3.0,101325.0,101325.0,3534.0,5562.0,0.0
71,398.15,-0.8,3.0,101325.0,101325.0,3534.0,5562.0,0.0
72,298.15,0.0,4.0,101325.0,101325.0,3534.0,5562.0,0.0
73,298.15,-0.1,4.0,101325.0,101325.0,3534.0,5562.0,0.0
74,298.15,-0.2,4.0,101325.0,101325.0,3534.0,5562.0,0.0
75,298.15,-0.3,4.0,101325.0,101325.0,3534.0,5562.0,0.0
76,298.15,-0.4,4.0,101325.0,101325.0,3534.0,5562.0,0.0
77,298.15,-0.5,4.0,101325.0,101325.0,3534.0,5562.0,0.0
78,298.15,-0.6,4.0,101325.0,101325.0,3534.0,5562.0,0.0
79,298.15,-0.7,4.0,101325.0,101325.0,3534.0,5562.0,0.0
80,298.15,-0.8,4.0,101325.0,101325.0,3534.0,5562.0,0.0
81,398.15,0.0,4.0,101325.0,101325.0,3534.0,5562.0,0.0
82,398.15,-0.1,4.0,101325.0,101325.0,3534.0,5562.0,0.0
83,398.15,-0.2,4.0,101325.0,101325.0,3534.0,5562.0,0.0
84,398.15,-0.3,4.0,101325.0,101325.0,3534.0,5562.0,0.0
85,398.15,-0.4,4.0,101325.0,101325.0,3534.0,5562.0,0.0
86,398.15,-0.5,4.0,101325.0,101325.0,3534.0,5562.0,0.0
87,398.15,-0.6,4.0,101325.0,101325.0,3534.0,5562.0,0.0
88,398.15,-0.7,4.0,101325.0,101325.0,3534.0,5562.0,0.0
89,398.15,-0.8,4.0,101325.0,101325.0,3534.0,5562.0,0.0
90,298.15,0.0,5.0,101325.0,101325.0,3534.0,5562.0,0.0
91,298.15,-0.1,5.0,101325.0,101325.0,3534.0,5562.0,0.0
92,298.15,-0.2,5.0,101325.0,101325.0,3534.0,5562.0,0.0
93,298.15,-0.3,5.0,101325.0,101325.0,3534.0,5562.0,0.0
94,298.15,-0.4,5.0,101325.0,101325.0,3534.0,5562.0,0.0
95,298.15,-0.5,5.0,101325.0,101325.0,3534.0,5562.0,0.0
96,298.15,-0.6,5.0,101325.0,101325.0,3534.0,5562.0,0.0
97,298.15,-0.7,5.0,101325.0,101325.0,3534.0,5562.0,0.0
98,298.15,-0.8,5.0,101325.0,101325.0,3534.0,5562.0,0.0
99,398.15,0.0,5.0,101325.0,101325.0,3534.0,5562.0,0.0
100,398.15,-0.1,5.0,101325.0,101325.0,3534.0,5562.0,0.0
101,398.15,-0.2,5.0,101325.0,101325.0,3534.0,5562.0,0.0
102,398.15,-0.3,5.0,101325.0,101325.0,3534.0,5562.0,0.0
103,398.15,-0.4,5.0,101325.0,101325.0,3534.0,5562.0,0.0
104,398.15,-0.5,5.0,101325.0,101325.0,3534.0,5562.0,0.0
105,398.15,-0.6,5.0,101325.0,101325.0,3534.0,5562.0,0.0
106,398.15,-0.7,5.0,101325.0,101325.0,3534.0,5562.0,0.0
107,398.15,-0.8,5.0,101325.0,101325.0,3534.0,5562.0,0.0
108,298.15,0.0,6.0,101325.0,101325.0,3534.0,5562.0,0.0
109,298.15,-0.1,6.0,101325.0,101325.0,3534.0,5562.0,0.0
110,298.15,-0.2,6.0,101325.0,101325.0,3534.0,5562.0,0.0
111,298.15,-0.3,6.0,101325.0,101325.0,3534.0,5562.0,0.0
112,298.15,-0.4,6.0,101325.0,101325.0,3534.0,5562.0,0.0
113,298.15,-0.5,6.0,101325.0,101325.0,3534.0,5562.0,0.0
114,298.15,-0.6,6.0,101325.0,101325.0,3534.0,5562.0,0.0
115,298.15,-0.7,6.0,101325.0,101325.0,3534.0,5562.0,0.0
116,298.15,-0.8,6.0,101325.0,101325.0,3534.0,5562.0,0.0
117,398.15,0.0,6.0,101325.0,101325.0,3534.0,5562.0,0.0
118,398.15,-0.1,6.0,101325.0,101325.0,3534.0,5562.0,0.0
119,398.15,-0.2,6.0,101325.0,101325.0,3534.0,5562.0,0.0
120,398.15,-0.3,6.0,101325.0,101325.0,3534.0,5562.0,0.0
121,398.15,-0.4,6.0,101325.0,101325.0,3534.0,5562.0,0.0
